File,HasWidth,HasHeight,Src,Tag
"components\Carousel.tsx",0,0,"src={src}","<img                 src={src}                 alt={`carousel slide ${idx + 1}`}                 className='w-auto h-auto object-contain mx-auto'                 style={{                   maxHeight: '400px',                   background: 'transparent',                   mixBlendMode: 'multiply',                   filter: 'brightness(1.1) contrast(1.1)',                   opacity: '0.95'                 }}                 onError={() =>"
"components\ClientLogosSection.tsx",1,1,"src={client.logo}","<img             src={client.logo}             alt={client.alt || client.name}             className={`logo-image ${imageLoaded ? 'loaded' : 'loading'}`}             loading='lazy'             width={160}             height={80}             onLoad={handleImageLoad}             onError={handleImageError}             decoding='async'           />"
"components\EventPopup.tsx",0,0,"src={popup.imageUrl}","<img               src={popup.imageUrl}               alt={popup.title || 'Event popup'}               style={{                 display: 'block',                 width: '100%',                 height: 'auto',                 maxHeight: '70vh',                 objectFit: 'contain'               }}             />"
"components\HeroAtandra.tsx",1,1,"src={slide.image}","<img               src={slide.image}               alt={slide.title}               className='w-full h-full object-cover object-center'               width={1920}               height={1080}               onError={(e) =>"
"components\layout\FooterComponents.tsx",0,0,"src=""/unnamed.png""","<img                 src='/unnamed.png'                 alt='KRYKARD Logo'                 className='h-14 w-auto object-contain mb-5'                 style={{ filter: 'brightness(0) saturate(100%) invert(1)' }}               />"
"components\layout\FooterComponents.tsx",0,0,"src=""/unnamed.png""","<img                 src='/unnamed.png'                 alt='Atandra Energy'                 className='h-9 w-auto object-contain opacity-90'                 style={{ filter: 'brightness(0) saturate(100%) invert(1)' }}               />"
"components\layout\Layout.tsx",0,0,"src=""/footer-logo.png""","<img             src='/footer-logo.png'             alt='KRYKARD Logo'             className='h-20 w-auto object-contain'             style={{ filter: 'brightness(0) saturate(100%) invert(1)' }}           />"
"components\layout\Navigation.tsx",1,1,"src=""/logo.png""","<img                   src='/logo.png'                   alt='KRYKARD'                   className='object-contain filter drop-shadow-sm h-12 lg:h-16 w-auto'                   width={180}                   height={60}                 />"
"components\layout\Navigation.tsx",1,1,"src=""/unnamed.png""","<img src='/unnamed.png' alt='KRYKARD' className='h-10 w-auto' width={180} height={60} />"
"components\layout\Navigation.tsx",1,1,"src=""/background_images/logo.png""","<img                     src='/background_images/logo.png'                     alt='Partner Logo 1'                     className='h-6 w-auto object-contain filter drop-shadow-md'                     width={160}                     height={80}                     style={{ opacity: 1, filter: 'contrast(1.1) brightness(1)' }}                     onError={(e) =>"
"components\layout\Navigation.tsx",1,1,"src=""/background_images/alensoft.png""","<img                     src='/background_images/alensoft.png'                     alt='Partner Logo 2'                     className='h-8 w-auto object-contain filter drop-shadow-md'                     width={160}                     height={80}                     style={{ opacity: 1, filter: 'contrast(1.2) brightness(1.1) saturate(1.2)' }}                     onError={(e) =>"
"components\layout\PageLayout.tsx",0,0,"src={pageImage}","<img               src={pageImage}               alt={title ? `${title} Banner Image` : 'Banner Image'}               className='absolute inset-0 object-cover object-center w-full h-full'             />"
"components\templates\ProductTemplate.tsx",0,0,"src=""https://via.placeholder.com/600x400""","<img                src='https://via.placeholder.com/600x400'                alt={title}                className='w-full h-auto object-cover'             />"
"pages\Index.tsx",1,1,"src={image}","<img               src={image}               alt={`Atandra Energy Power Solutions Banner ${index + 1} - ${index === 0 ? 'Servo Stabilizers' : index === 1 ? 'UPS Systems' : index === 2 ? 'Power Conditioners' : index === 3 ? 'Voltage Regulators' : 'Energy Management Solutions'}`}               className='w-full h-full object-cover object-center block min-h-[180px] max-h-[600px]'               style={{ minHeight: '180px', maxHeight: '600px', objectFit: 'cover', objectPosition: 'center' }}               loading={index === 0 ? 'eager' : 'lazy'}               width={1920}               height={1080}               onError={(e) =>"
"pages\Index.tsx",1,1,"src={category.image}","<img                   src={category.image}                   alt={`${category.title} - Atandra Energy Solutions`}                   className='w-full h-full object-cover transition-transform duration-500 group-hover:scale-105'                   loading='lazy'                   width={320}                   height={240}                   onError={(e) =>"
"pages\Index.tsx",0,0,"src=""/background_images/Service-Locations-India.jpeg""","<img                     src='/background_images/Service-Locations-India.jpeg'                     alt='India Service Locations Map - Krykard Network Coverage'                     className='w-full h-auto rounded-xl shadow-lg'                     style={{                       minHeight: '400px',                       maxHeight: '500px',                       aspectRatio: '4/3',                       objectFit: 'contain'                     }}                     loading='eager'                     onError={(e) =>"
"pages\Index.tsx",0,0,"src=""/background_images/world-map-dots.jpg""","<img             src='/background_images/world-map-dots.jpg'             alt='Global Presence - Atandra Energy World Map'             className='w-full max-w-6xl h-auto object-contain aspect-video rounded-xl shadow-lg'             style={{ background: '#232833' }}             loading='lazy'           />"
"pages\SimpleIndex.tsx",0,0,"src={image}","<img                   src={image}                   alt={`Banner ${index + 1}`}                   style={{                     width: '100%',                     height: '100%',                     objectFit: 'cover'                   }}                   onError={(e) =>"
"pages\SimpleIndex.tsx",0,0,"src={category.image}","<img                       src={category.image}                       alt={category.title}                       style={{                         width: '100%',                         height: '100%',                         objectFit: 'cover'                       }}                       onError={(e) =>"
"pages\about\Certificates.tsx",1,1,"src={certificate.imageUrl}","<img                         src={certificate.imageUrl}                         alt={certificate.title}                         className='w-full h-full object-contain rounded-lg shadow-md'                         width={320}                         height={240}                       />"
"pages\about\Company.tsx",0,0,"src=""/background_images/Service-Locations-India.jpeg""","<img                   src='/background_images/Service-Locations-India.jpeg'                   alt='India Service Locations Map - Krykard Network Coverage'                   className='w-full h-auto rounded-xl shadow-lg'                   style={{                     minHeight: '400px',                     maxHeight: '500px',                     aspectRatio: '4/3',                     objectFit: 'contain'                   }}                   loading='eager'                   onError={(e) =>"
"pages\about\Company.tsx",0,0,"src=""/background_images/vision&mission.png""","<img               src='/background_images/vision&mission.png'               alt='Background'               className='absolute inset-0 w-full h-full object-cover opacity-15 pointer-events-none z-0 transition-opacity duration-700'             />"
"pages\about\events.tsx",1,1,"src={event.images[0].url}","<img             src={event.images[0].url}             alt={`${event.title} event image`}             className='w-full h-full object-cover object-center group-hover:scale-105 transition-transform duration-500'             loading='lazy'             width={320}             height={240}           />"
"pages\about\events.tsx",0,0,"src={activeEvent.images[currentImageIndex].url}","<img                   src={activeEvent.images[currentImageIndex].url}                   alt={`${activeEvent.title} - Image ${currentImageIndex + 1}`}                   className='w-full h-full object-contain rounded-lg shadow-md max-h-[30vh] sm:max-h-[35vh] md:max-h-[40vh] lg:max-h-[45vh] bg-gray-50'                   loading='lazy'                 />"
